recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
4,1,18531,204364,5600902454078,5600902658442,10.10.4.2,10.10.1.2,1,64,34012,5020,6,47453,47453
4,3,55707,269748,5600944409261,5600944679009,10.10.4.2,10.10.1.2,1,64,34012,5020,6,47465,47465
4,5,14831,353502,5600986630155,5600986983657,10.10.4.2,10.10.1.2,1,64,34012,5020,6,47525,47525
7,2,18787,10526834,5600923356924,5600933883758,10.10.4.2,10.10.3.2,2,63,34012,5020,6,47454,47454
7,4,63756,10560647,5600965481299,5600976041946,10.10.4.2,10.10.3.2,2,63,34012,5020,6,47485,47485
4,7,47420,296751,5601029458393,5601029755144,10.10.4.2,10.10.1.2,1,64,34012,5020,6,47765,47765
4,9,47474,545858,5601072535426,5601073081284,10.10.4.2,10.10.1.2,1,64,34012,5020,6,48725,48725
4,11,24843,828082,5601094097999,5601094926081,10.10.4.2,10.10.1.2,1,64,34012,5020,6,49974,49974
4,13,29145,773662,5601115701446,5601116475108,10.10.4.2,10.10.1.2,1,64,34012,5020,6,51504,51504
4,15,37284,690881,5601137130309,5601137821190,10.10.4.2,10.10.1.2,1,64,34012,5020,6,53124,53124
4,17,45423,734621,5601157753152,5601158487773,10.10.4.2,10.10.1.2,1,64,34012,5020,6,54744,54744
4,19,22841,806560,5601178990484,5601179797044,10.10.4.2,10.10.1.2,1,64,34012,5020,6,56409,56409
4,21,30980,806237,5601199167924,5601199974161,10.10.4.2,10.10.1.2,1,64,34012,5020,6,58029,58029
4,23,12747,745258,5601220852158,5601221597416,10.10.4.2,10.10.1.2,1,64,34012,5020,6,59784,59784
4,25,20886,753138,5601240889261,5601241642399,10.10.4.2,10.10.1.2,1,64,34012,5020,6,61404,61404
4,27,29025,732561,5601260991125,5601261723686,10.10.4.2,10.10.1.2,1,64,34012,5020,6,63024,63024
4,29,37164,866641,5601281098273,5601281964914,10.10.4.2,10.10.1.2,1,64,34012,5020,6,64644,64644
4,31,45559,773273,5601301233055,5601302006328,10.10.4.2,10.10.1.2,1,64,34012,5020,6,728,728
4,33,22977,1317682,5601321243538,5601322561220,10.10.4.2,10.10.1.2,1,64,34012,5020,6,2393,2393
4,35,35209,819969,5601342960057,5601343780026,10.10.4.2,10.10.1.2,1,64,34012,5020,6,4103,4103
4,37,43348,768456,5601362998365,5601363766821,10.10.4.2,10.10.1.2,1,64,34012,5020,6,5723,5723
4,39,51487,728203,5601383010054,5601383738257,10.10.4.2,10.10.1.2,1,64,34012,5020,6,7343,7343
4,41,59882,767997,5601403201339,5601403969336,10.10.4.2,10.10.1.2,1,64,34012,5020,6,8963,8963
4,43,2486,836133,5601423270480,5601424106613,10.10.4.2,10.10.1.2,1,64,34012,5020,6,10583,10583
4,45,10625,811480,5601443352053,5601444163533,10.10.4.2,10.10.1.2,1,64,34012,5020,6,12203,12203
4,47,18764,794680,5601463442849,5601464237529,10.10.4.2,10.10.1.2,1,64,34012,5020,6,13823,13823
4,49,26903,845430,5601483561624,5601484407054,10.10.4.2,10.10.1.2,1,64,34012,5020,6,15443,15443
4,51,8670,732363,5601505231278,5601505963641,10.10.4.2,10.10.1.2,1,64,34012,5020,6,17198,17198
4,53,51623,1348992,5601525237220,5601526586212,10.10.4.2,10.10.1.2,1,64,34012,5020,6,18863,18863
4,55,24948,771551,5601545313485,5601546085036,10.10.4.2,10.10.1.2,1,64,34012,5020,6,20438,20438
4,57,33087,813716,5601565471192,5601566284908,10.10.4.2,10.10.1.2,1,64,34012,5020,6,22058,22058
4,59,41226,734999,5601585482450,5601586217449,10.10.4.2,10.10.1.2,1,64,34012,5020,6,23678,23678
4,61,61900,799861,5601608782614,5601609582475,10.10.4.2,10.10.1.2,1,64,34012,5020,6,25568,25568
4,63,4504,821693,5601628932630,5601629754323,10.10.4.2,10.10.1.2,1,64,34012,5020,6,27188,27188
4,65,51550,794139,5601650649935,5601651444074,10.10.4.2,10.10.1.2,1,64,34012,5020,6,28943,28943
4,67,59689,761156,5601670684366,5601671445522,10.10.4.2,10.10.1.2,1,64,34012,5020,6,30563,30563
4,69,41456,828909,5601692389706,5601693218615,10.10.4.2,10.10.1.2,1,64,34012,5020,6,32318,32318
4,71,49595,737837,5601712398543,5601713136380,10.10.4.2,10.10.1.2,1,64,34012,5020,6,33938,33938
4,73,31106,946498,5601734090266,5601735036764,10.10.4.2,10.10.1.2,1,64,34012,5020,6,35693,35693
4,75,39245,797194,5601754319066,5601755116260,10.10.4.2,10.10.1.2,1,64,34012,5020,6,37313,37313
4,77,20756,755995,5601775982655,5601776738650,10.10.4.2,10.10.1.2,1,64,34012,5020,6,39068,39068
4,79,29151,707924,5601796039125,5601796747049,10.10.4.2,10.10.1.2,1,64,34012,5020,6,40688,40688
4,81,37290,690745,5601816094236,5601816784981,10.10.4.2,10.10.1.2,1,64,34012,5020,6,42308,42308
4,83,45429,848552,5601836144795,5601836993347,10.10.4.2,10.10.1.2,1,64,34012,5020,6,43928,43928
4,85,53568,795793,5601856193460,5601856989253,10.10.4.2,10.10.1.2,1,64,34012,5020,6,45548,45548
4,87,35079,912292,5601877889484,5601878801776,10.10.4.2,10.10.1.2,1,64,34012,5020,6,47303,47303
4,89,12753,1332668,5601897910800,5601899243468,10.10.4.2,10.10.1.2,1,64,34012,5020,6,48968,48968
4,91,51613,934405,5601917940976,5601918875381,10.10.4.2,10.10.1.2,1,64,34012,5020,6,50543,50543
4,93,59752,776888,5601938027942,5601938804830,10.10.4.2,10.10.1.2,1,64,34012,5020,6,52163,52163
4,95,41263,827398,5601959747856,5601960575254,10.10.4.2,10.10.1.2,1,64,34012,5020,6,53918,53918
4,97,53751,1953156,5601979764726,5601981717882,10.10.4.2,10.10.1.2,1,64,34012,5020,6,55628,55628
4,99,57797,766852,5601999835231,5602000602083,10.10.4.2,10.10.1.2,1,64,34012,5020,6,57158,57158
4,101,39308,805460,5602021517731,5602022323191,10.10.4.2,10.10.1.2,1,64,34012,5020,6,58913,58913
7,6,47539,10786227,5601007994764,5601018780991,10.10.4.2,10.10.3.2,2,63,34012,5020,6,47605,47605
7,8,47438,10869644,5601050944447,5601061814091,10.10.4.2,10.10.3.2,2,63,34012,5020,6,48085,48085
7,10,39192,11716185,5601083059283,5601094775468,10.10.4.2,10.10.3.2,2,63,34012,5020,6,49569,49569
7,12,61936,11491411,5601104126397,5601115617808,10.10.4.2,10.10.3.2,2,63,34012,5020,6,50784,50784
7,14,447,11496137,5601125947299,5601137443436,10.10.4.2,10.10.3.2,2,63,34012,5020,6,52314,52314
7,16,8586,11577527,5601147728937,5601159306464,10.10.4.2,10.10.3.2,2,63,34012,5020,6,53934,53934
7,18,16725,11958011,5601168076455,5601180034466,10.10.4.2,10.10.3.2,2,63,34012,5020,6,55554,55554
7,20,59678,11564643,5601189055994,5601200620637,10.10.4.2,10.10.3.2,2,63,34012,5020,6,57219,57219
7,22,2538,11369936,5601209180603,5601220550539,10.10.4.2,10.10.3.2,2,63,34012,5020,6,58839,58839
7,24,49584,11554766,5601230867481,5601242422247,10.10.4.2,10.10.3.2,2,63,34012,5020,6,60594,60594
7,26,57723,11632659,5601250912512,5601262545171,10.10.4.2,10.10.3.2,2,63,34012,5020,6,62214,62214
7,28,327,11671876,5601271035740,5601282707616,10.10.4.2,10.10.3.2,2,63,34012,5020,6,63834,63834
7,30,8466,11612040,5601291183936,5601302795976,10.10.4.2,10.10.3.2,2,63,34012,5020,6,65454,65454
