recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
4,1,21460,92848,3374395912629,3374396005477,10.10.4.2,10.10.1.2,1,64,34004,5020,6,24188,24188
4,3,58380,373175,3374438526718,3374438899893,10.10.4.2,10.10.1.2,1,64,34004,5020,6,24200,24200
4,5,17504,273146,3374481778375,3374482051521,10.10.4.2,10.10.1.2,1,64,34004,5020,6,24260,24260
7,2,21716,10552527,3374416932519,3374427485046,10.10.4.2,10.10.3.2,2,63,34004,5020,6,24189,24189
7,4,1150,10918752,3374460042088,3374470960840,10.10.4.2,10.10.3.2,2,63,34004,5020,6,24220,24220
4,7,50349,305918,3374524955334,3374525261252,10.10.4.2,10.10.1.2,1,64,34004,5020,6,24500,24500
4,9,48266,418683,3374569453687,3374569872370,10.10.4.2,10.10.1.2,1,64,34004,5020,6,25399,25399
4,11,27666,402821,3374613250177,3374613652998,10.10.4.2,10.10.1.2,1,64,34004,5020,6,26645,26645
4,13,31945,344679,3374635248567,3374635593246,10.10.4.2,10.10.1.2,1,64,34004,5020,6,27311,27311
4,15,9384,638782,3374656536527,3374657175309,10.10.4.2,10.10.1.2,1,64,34004,5020,6,27984,27984
4,17,42128,560320,3374678573719,3374679134039,10.10.4.2,10.10.1.2,1,64,34004,5020,6,28704,28704
4,19,9337,808568,3374700040708,3374700849276,10.10.4.2,10.10.1.2,1,64,34004,5020,6,29424,29424
4,21,11360,352731,3374722179504,3374722532235,10.10.4.2,10.10.1.2,1,64,34004,5020,6,30189,30189
4,23,13383,632822,3374743779317,3374744412139,10.10.4.2,10.10.1.2,1,64,34004,5020,6,30954,30954
4,25,50220,555653,3374765474846,3374766030499,10.10.4.2,10.10.1.2,1,64,34004,5020,6,31764,31764
4,27,21522,879241,3374787121542,3374788000783,10.10.4.2,10.10.1.2,1,64,34004,5020,6,32574,32574
4,29,27894,651088,3374808325266,3374808976354,10.10.4.2,10.10.1.2,1,64,34004,5020,6,33429,33429
