recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
3,1,31916,238704,5446918538101,5446918776805,10.10.4.2,10.10.1.2,1,64,41574,5020,6,19635,19635
3,3,3557,273968,5446961245526,5446961519494,10.10.4.2,10.10.1.2,1,64,41574,5020,6,19647,19647
3,5,27960,374778,5447003962733,5447004337511,10.10.4.2,10.10.1.2,1,64,41574,5020,6,19707,19707
4,2,32172,20873074,5446939562957,5446960436031,10.10.4.2,10.10.3.2,2,63,41574,5020,6,19636,19636
4,4,11606,21059610,5446982634414,5447003694024,10.10.4.2,10.10.3.2,2,63,41574,5020,6,19667,19667
3,7,60805,331117,5447046988717,5447047319834,10.10.4.2,10.10.1.2,1,64,41574,5020,6,19947,19947
3,9,40332,461493,5447068993168,5447069454661,10.10.4.2,10.10.1.2,1,64,41574,5020,6,20265,20265
3,11,36288,356765,5447090236912,5447090593677,10.10.4.2,10.10.1.2,1,64,41574,5020,6,20591,20591
3,13,3523,389889,5447111284098,5447111673987,10.10.4.2,10.10.1.2,1,64,41574,5020,6,20863,20863
3,15,28138,261990,5447133143997,5447133405987,10.10.4.2,10.10.1.2,1,64,41574,5020,6,21051,21051
3,17,56815,356406,5447154885103,5447155241509,10.10.4.2,10.10.1.2,1,64,41574,5020,6,21233,21233
3,19,36130,333400,5447176519270,5447176852670,10.10.4.2,10.10.1.2,1,64,41574,5020,6,21423,21423
3,21,15701,288631,5447198744754,5447199033385,10.10.4.2,10.10.1.2,1,64,41574,5020,6,21613,21613
3,23,60807,349231,5447220328154,5447220677385,10.10.4.2,10.10.1.2,1,64,41574,5020,6,21803,21803
3,25,40378,342283,5447241758820,5447242101103,10.10.4.2,10.10.1.2,1,64,41574,5020,6,21993,21993
3,27,1489,330884,5447263594152,5447263925036,10.10.4.2,10.10.1.2,1,64,41574,5020,6,22178,22178
3,29,46339,342642,5447285388858,5447285731500,10.10.4.2,10.10.1.2,1,64,41574,5020,6,22368,22368
3,31,25910,412721,5447307277634,5447307690355,10.10.4.2,10.10.1.2,1,64,41574,5020,6,22558,22558
3,33,5481,347265,5447328992498,5447329339763,10.10.4.2,10.10.1.2,1,64,41574,5020,6,22748,22748
3,35,50587,344862,5447350764762,5447351109624,10.10.4.2,10.10.1.2,1,64,41574,5020,6,22938,22938
3,37,11698,342701,5447372627256,5447372969957,10.10.4.2,10.10.1.2,1,64,41574,5020,6,23123,23123
