sample,timestamp,rtt
0,3757465159015,20819
1,3757465382963,20839
2,3757465397036,20869
3,3757465412191,20896
4,3757486162090,20901
5,3757486190585,20917
6,3757486480007,20934
7,3757486494047,20963
8,3757486509765,20990
9,3757486570591,20994
10,3757486765690,21004
11,3757486779871,21015
12,3757486797355,21027
13,3757486805761,21017
14,3757507177985,21010
15,3757507201035,21010
16,3757507218525,21012
17,3757507289799,20994
18,3757507631514,20988
19,3757507655740,21001
20,3757507672161,21016
21,3757507679685,21011
22,3757508083847,21008
23,3757508108061,21034
24,3757508124512,21059
25,3757508353334,21083
26,3757508376232,21111
27,3757508399909,21138
28,3757508439923,21142
29,3757508588370,21151
30,3757508614130,21156
31,3757528474131,21163
32,3757528498370,21178
33,3757528508423,21195
34,3757528522255,21208
35,3757528533436,21220
36,3757528799896,21210
37,3757528824229,21204
38,3757529068373,21199
39,3757529080879,21204
40,3757529480555,21211
41,3757529504824,21233
42,3757529522034,21253
43,3757529729869,21252
44,3757529910173,21266
45,3757530145961,21299
46,3757530157540,21336
47,3757530173743,21370
48,3757549562037,21396
49,3757549585865,21356
50,3757549595910,21325
51,3757550001049,21295
52,3757550024980,21317
53,3757550306299,21318
54,3757550333470,21341
55,3757550559222,21361
56,3757550962757,21375
57,3757550993833,21388
58,3757551155699,21400
59,3757551216618,21430
60,3757551613248,21431
61,3757551629251,21481
62,3757551637156,21526
63,3757551644464,21567
64,3757551786738,21551
65,3757551799691,21555
66,3757551956541,21560
67,3757551969421,21585
68,3757551978194,21607
69,3757551985647,21628
70,3757552254155,21598
71,3757552267102,21606
72,3757552283363,21614
73,3757552350718,21623
74,3757570643572,21597
75,3757571003530,21531
76,3757571535181,21515
77,3757571558886,21517
78,3757571831721,21521
79,3757571994276,21521
80,3757572018350,21541
81,3757572177621,21561
82,3757572190306,21599
83,3757572368568,21630
84,3757572382641,21680
85,3757572390160,21656
86,3757572723192,21637
87,3757572735824,21661
88,3757572744752,21674
89,3757572751910,21686
90,3757573009602,21674
91,3757573031114,21696
92,3757573048927,21710
93,3757573280709,21724
94,3757573373365,21766
95,3757573565948,21751
96,3757573578630,21762
97,3757573792525,21773
98,3757573956756,21809
99,3757573971175,21862
100,3757574212662,21834
101,3757574224725,21840
102,3757574234216,21846
103,3757574482009,21853
104,3757574495455,21891
105,3757574503295,21925
106,3757574756002,21955
107,3757574939332,22014
108,3757574952097,22088
109,3757574959581,22043
110,3757574967393,22004
111,3757575336943,21971
112,3757575349838,21988
113,3757575359246,22005
114,3757575558095,22021
115,3757591642354,21990
116,3757592229239,21865
117,3757592923031,21784
118,3757592946195,21733
119,3757593361454,21692
120,3757593659401,21708
121,3757593899649,21756
122,3757593912269,21828
123,3757593919933,21838
124,3757594120399,21848
125,3757594133286,21882
126,3757594396259,21853
127,3757594630513,21860
128,3757594644152,21896
129,3757594864350,21928
130,3757594878563,21907
131,3757595063442,21890
132,3757595222887,21899
133,3757595402958,21926
134,3757595416846,21973
135,3757595427631,22015
136,3757595436057,21976
137,3757595630936,21943
138,3757595806802,21939
139,3757595989182,21957
140,3757596161231,21996
141,3757596175971,22051
142,3757596184660,22028
143,3757596348839,22008
144,3757596508266,22012
145,3757596721742,22035
146,3757596734602,22082
147,3757596742016,22125
148,3757596977367,22163
149,3757596989445,22226
150,3757597000380,22282
151,3757597221558,22192
152,3757597388780,22142
153,3757597606987,22122
154,3757597619040,22129
155,3757597628702,22136
156,3757597881510,22143
157,3757597893681,22181
158,3757598101139,22216
159,3757598393015,22272
160,3757598405985,22358
161,3757598413341,22297
162,3757598609992,22244
163,3757598655083,22222
164,3757598925631,22209
165,3757598938533,22232
166,3757598945867,22253
167,3757599135322,22272
168,3757599147583,22313
169,3757599157506,22350
170,3757599537494,22245
171,3757599559184,22200
172,3757599924352,22164
173,3757599936613,22179
174,3757599946300,22192
175,3757600135517,22206
176,3757600348520,22241
177,3757600361081,22299
178,3757600642714,22351
179,3757600694259,22293
180,3757600942282,22248
181,3757612836329,22240
182,3757614349910,22108
183,3757614373136,22022
184,3757614814436,21950
185,3757615134917,21887
186,3757615158953,21871
187,3757615537670,21824
188,3757615705023,21830
189,3757615716296,21856
190,3757615871350,21880
191,3757616112934,21888
192,3757616124205,21926
193,3757616444498,21960
194,3757616457435,22030
195,3757616467922,22093
196,3757616746665,22041
197,3757616757968,22030
198,3757616908272,22022
199,3757617190554,22034
200,3757617204765,22080
201,3757617212174,22121
202,3757617494346,22158
203,3757617507035,22227
204,3757617550552,22288
205,3757617561906,22346
206,3757617870379,22261
207,3757617882853,22224
208,3757618026671,22194
209,3757618040691,22186
210,3757618309710,22180
211,3757618478450,22208
212,3757618563958,22255
213,3757618783252,22306
214,3757618797477,22378
215,3757619165521,22301
216,3757619178225,22280
217,3757619184925,22263
218,3757619581585,22249
219,3757619594458,22287
220,3757619847779,22321
221,3757619859050,22383
222,3757620130665,22438
223,3757620142878,22386
224,3757620389358,22342
225,3757620400666,22334
226,3757620700395,22328
227,3757620721924,22356
228,3757620968152,22382
229,3757620980443,22436
230,3757621316188,22485
231,3757621328880,22569
232,3757621578622,22645
233,3757621592600,22742
234,3757621874133,22623
235,3757621988461,22554
236,3757622227662,22508
237,3757622241519,22498
238,3757622484003,22490
239,3757622496808,22514
240,3757622863766,22536
241,3757622877719,22602
242,3757623241233,22523
243,3757623254008,22500
244,3757623503730,22481
245,3757623515738,22495
246,3757623522864,22509
247,3757623679448,22523
248,3757623915556,22554
249,3757623926474,22611
250,3757624215626,22523
251,3757624225832,22483
252,3757624444553,22449
253,3757624455406,22446
254,3757624651974,22445
255,3757624887591,22469
256,3757625023190,22519
257,3757625143413,22580
258,3757625262439,22510
259,3757625369058,22463
260,3757625540583,22435
