recvcpu,seq,origseq,latency,sendtime,recvtime,dest,responder,outttl,recvttl,sport,dport,protocol,outipid,inipid
4,1,29716,411026,2675177819560,2675178230586,10.10.4.2,10.10.1.2,1,64,34000,5020,6,38320,38320
4,3,1357,244835,2675220258375,2675220503210,10.10.4.2,10.10.1.2,1,64,34000,5020,6,38332,38332
4,5,26016,401302,2675262648850,2675263050152,10.10.4.2,10.10.1.2,1,64,34000,5020,6,38392,38392
4,7,58861,391229,2675305598209,2675305989438,10.10.4.2,10.10.1.2,1,64,34000,5020,6,38632,38632
4,9,58659,663212,2675348969168,2675349632380,10.10.4.2,10.10.1.2,1,64,34000,5020,6,39592,39592
4,11,58806,829546,2675370340606,2675371170152,10.10.4.2,10.10.1.2,1,64,34000,5020,6,40840,40840
4,13,5503,849486,2675391479270,2675392328756,10.10.4.2,10.10.1.2,1,64,34000,5020,6,42550,42550
4,15,13642,864314,2675411497950,2675412362264,10.10.4.2,10.10.1.2,1,64,34000,5020,6,44170,44170
4,17,21781,747239,2675431596735,2675432343974,10.10.4.2,10.10.1.2,1,64,34000,5020,6,45790,45790
4,19,64990,1416180,2675451604428,2675453020608,10.10.4.2,10.10.1.2,1,64,34000,5020,6,47455,47455
4,21,15780,1859991,2675473227095,2675475087086,10.10.4.2,10.10.1.2,1,64,34000,5020,6,49255,49255
4,23,58733,751412,2675494919474,2675495670886,10.10.4.2,10.10.1.2,1,64,34000,5020,6,50920,50920
4,25,1337,857130,2675515008753,2675515865883,10.10.4.2,10.10.1.2,1,64,34000,5020,6,52540,52540
4,27,48639,818162,2675536638625,2675537456787,10.10.4.2,10.10.1.2,1,64,34000,5020,6,54295,54295
4,29,30150,848434,2675558280772,2675559129206,10.10.4.2,10.10.1.2,1,64,34000,5020,6,56050,56050
4,31,38289,815749,2675578330284,2675579146033,10.10.4.2,10.10.1.2,1,64,34000,5020,6,57670,57670
4,33,19800,720589,2675600001876,2675600722465,10.10.4.2,10.10.1.2,1,64,34000,5020,6,59425,59425
4,35,27939,773790,2675620172525,2675620946315,10.10.4.2,10.10.1.2,1,64,34000,5020,6,61045,61045
4,37,36334,810145,2675640177548,2675640987693,10.10.4.2,10.10.1.2,1,64,34000,5020,6,62665,62665
4,39,17845,730275,2675661847239,2675662577514,10.10.4.2,10.10.1.2,1,64,34000,5020,6,64420,64420
4,41,25984,735078,2675681854696,2675682589774,10.10.4.2,10.10.1.2,1,64,34000,5020,6,504,504
4,43,34123,871033,2675701909039,2675702780072,10.10.4.2,10.10.1.2,1,64,34000,5020,6,2124,2124
4,45,42262,810022,2675722054700,2675722864722,10.10.4.2,10.10.1.2,1,64,34000,5020,6,3744,3744
4,47,24029,823571,2675743698084,2675744521655,10.10.4.2,10.10.1.2,1,64,34000,5020,6,5499,5499
4,49,5540,866725,2675765391112,2675766257837,10.10.4.2,10.10.1.2,1,64,34000,5020,6,7254,7254
4,51,13679,857036,2675785547472,2675786404508,10.10.4.2,10.10.1.2,1,64,34000,5020,6,8874,8874
4,53,60725,739231,2675807245231,2675807984462,10.10.4.2,10.10.1.2,1,64,34000,5020,6,10629,10629
4,55,15864,762306,2675830534388,2675831296694,10.10.4.2,10.10.1.2,1,64,34000,5020,6,12519,12519
4,57,24003,768773,2675850660479,2675851429252,10.10.4.2,10.10.1.2,1,64,34000,5020,6,14139,14139
4,59,32142,803714,2675870687869,2675871491583,10.10.4.2,10.10.1.2,1,64,34000,5020,6,15759,15759
4,61,40281,903227,2675890711899,2675891615126,10.10.4.2,10.10.1.2,1,64,34000,5020,6,17379,17379
4,63,48420,866649,2675910779483,2675911646132,10.10.4.2,10.10.1.2,1,64,34000,5020,6,18999,18999
4,65,30187,784555,2675932532796,2675933317351,10.10.4.2,10.10.1.2,1,64,34000,5020,6,20754,20754
4,67,38326,722399,2675952666058,2675953388457,10.10.4.2,10.10.1.2,1,64,34000,5020,6,22374,22374
4,69,46465,727474,2675972772257,2675973499731,10.10.4.2,10.10.1.2,1,64,34000,5020,6,23994,23994
4,71,54604,828937,2675992966957,2675993795894,10.10.4.2,10.10.1.2,1,64,34000,5020,6,25614,25614
4,73,62743,680141,2676012979457,2676013659598,10.10.4.2,10.10.1.2,1,64,34000,5020,6,27234,27234
4,75,5603,930372,2676033029369,2676033959741,10.10.4.2,10.10.1.2,1,64,34000,5020,6,28854,28854
4,77,52649,727466,2676054684297,2676055411763,10.10.4.2,10.10.1.2,1,64,34000,5020,6,30609,30609
4,79,60788,834790,2676074740930,2676075575720,10.10.4.2,10.10.1.2,1,64,34000,5020,6,32229,32229
4,81,42299,810836,2676096458589,2676097269425,10.10.4.2,10.10.1.2,1,64,34000,5020,6,33984,33984
4,83,50438,799923,2676116620015,2676117419938,10.10.4.2,10.10.1.2,1,64,34000,5020,6,35604,35604
4,85,58833,740245,2676136747555,2676137487800,10.10.4.2,10.10.1.2,1,64,34000,5020,6,37224,37224
4,87,40344,724802,2676158624762,2676159349564,10.10.4.2,10.10.1.2,1,64,34000,5020,6,38979,38979
7,2,29972,10518303,2675198804539,2675209322842,10.10.4.2,10.10.3.2,2,63,34000,5020,6,38321,38321
7,4,9662,10721229,2675241425651,2675252146880,10.10.4.2,10.10.3.2,2,63,34000,5020,6,38352,38352
7,6,58724,10857027,2675284132308,2675294989335,10.10.4.2,10.10.3.2,2,63,34000,5020,6,38472,38472
7,8,58879,11186570,2675327227352,2675338413922,10.10.4.2,10.10.3.2,2,63,34000,5020,6,38952,38952
7,10,7620,11458641,2675359358917,2675370817558,10.10.4.2,10.10.3.2,2,63,34000,5020,6,40435,40435
7,12,64922,11562375,2675380691570,2675392253945,10.10.4.2,10.10.3.2,2,63,34000,5020,6,41695,41695
7,14,42340,11223438,2675401484287,2675412707725,10.10.4.2,10.10.3.2,2,63,34000,5020,6,43360,43360
7,16,50479,11190545,2675421573844,2675432764389,10.10.4.2,10.10.3.2,2,63,34000,5020,6,44980,44980
7,18,28153,11906450,2675441600216,2675453506666,10.10.4.2,10.10.3.2,2,63,34000,5020,6,46645,46645
7,20,40385,11289655,2675463225915,2675474515570,10.10.4.2,10.10.3.2,2,63,34000,5020,6,48355,48355
7,22,17803,11926302,2675483236280,2675495162582,10.10.4.2,10.10.3.2,2,63,34000,5020,6,50020,50020
7,24,30035,11263539,2675504995909,2675516259448,10.10.4.2,10.10.3.2,2,63,34000,5020,6,51730,51730
7,26,42267,12438130,2675525009366,2675537447496,10.10.4.2,10.10.3.2,2,63,34000,5020,6,53440,53440
7,28,58848,11293753,2675548266327,2675559560080,10.10.4.2,10.10.3.2,2,63,34000,5020,6,55240,55240
7,30,36266,11924172,2675568280935,2675580205107,10.10.4.2,10.10.3.2,2,63,34000,5020,6,56905,56905
7,32,9591,11406918,2675588350116,2675599757034,10.10.4.2,10.10.3.2,2,63,34000,5020,6,58480,58480
7,34,56637,11259268,2675610110597,2675621369865,10.10.4.2,10.10.3.2,2,63,34000,5020,6,60235,60235
7,36,3334,12323783,2675630174932,2675642498715,10.10.4.2,10.10.3.2,2,63,34000,5020,6,61945,61945
7,38,46543,11100556,2675651821662,2675662922218,10.10.4.2,10.10.3.2,2,63,34000,5020,6,63610,63610
7,40,23961,11753384,2675671848183,2675683601567,10.10.4.2,10.10.3.2,2,63,34000,5020,6,65275,65275
